,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
170,bataipora,16,BR,2019-06-25,50,-22.3,-53.27,69.89000000000001,4.5705256
171,tessalit,0,ML,2019-06-25,9,20.2,1.01,89.87000000000006,4.0877236
172,port elizabeth,1,US,2019-06-25,73,39.31,-74.98,75.2,4.184284
173,borujerd,0,IR,2019-06-25,20,33.89,48.76,84.2,3.4761744
174,batagay-alyta,60,RU,2019-06-25,42,67.8,130.41,66.11000000000008,6.5339203999999995
175,charters towers,0,AU,2019-06-25,39,-20.07,146.27,72.59000000000003,6.2603326
176,bonavista,11,CA,2019-06-25,83,48.65,-53.11,41.0,4.3130312
177,mitsamiouli,20,KM,2019-06-25,69,-11.38,43.28,80.6,0.80467
178,kalmunai,100,LK,2019-06-25,43,7.42,81.82,92.57000000000006,3.8302292
179,veraval,15,FR,2019-06-25,88,49.65,0.71,68.0,5.793624
180,zhanaozen,10,KZ,2019-06-25,22,43.35,52.85,94.19000000000003,9.575573
181,sinnamary,100,GF,2019-06-25,82,5.38,-52.96,79.61000000000008,9.1893314
182,lebu,40,ET,2019-06-25,82,8.96,38.73,57.2,3.379614
183,port macquarie,90,AU,2019-06-25,93,-31.43,152.91,64.4,2.41401
184,kikwit,46,CD,2019-06-25,44,-5.04,18.82,71.69000000000003,2.1243288000000002
185,waterloo,5,CA,2019-06-25,88,43.47,-80.52,68.0,4.9889540000000006
186,carnarvon,0,ZA,2019-06-25,35,-30.97,22.13,41.81000000000008,8.529501999999999
187,znin,0,PL,2019-06-25,65,52.85,17.72,77.0,3.379614
188,mar del plata,51,AR,2019-06-25,73,-46.43,-67.52,39.83000000000004,16.994630400000002
189,nishihara,75,JP,2019-06-25,58,35.74,139.53,87.99800000000002,8.207633999999999
190,clocolan,0,ZA,2019-06-25,65,-28.91,27.57,41.0,3.942883
191,astara,0,AZ,2019-06-25,28,38.42,48.87,93.2,5.713157
192,hithadhoo,75,MV,2019-06-25,69,-0.6,73.08,84.47000000000006,4.2486576000000005
193,tromso,75,NO,2019-06-25,81,69.65,18.96,50.0,13.196587999999998
194,katsuura,75,JP,2019-06-25,94,33.93,134.5,80.6,9.977908000000001
195,kruisfontein,81,ZA,2019-06-25,94,-34.0,24.73,52.79000000000002,7.225936600000001
196,preobrazheniye,34,RU,2019-06-25,60,42.9,133.91,76.01000000000008,4.9406738
197,upernavik,100,GL,2019-06-25,85,72.79,-56.15,32.99000000000002,3.1221196
198,yumen,100,CN,2019-06-25,23,40.29,97.04,77.81000000000009,4.0555368
199,kudat,75,MY,2019-06-25,62,6.89,116.84,87.80000000000001,3.379614
200,ubon ratchathani,40,TH,2019-06-25,59,15.23,104.86,93.99199999999999,8.207633999999999
201,comodoro rivadavia,0,AR,2019-06-25,61,-45.87,-67.48,50.0,14.001257999999998
202,qasigiannguit,89,GL,2019-06-25,87,68.82,-51.19,42.8,2.41401
203,kungurtug,100,RU,2019-06-25,79,50.6,97.53,44.33000000000004,5.793624
204,skibbereen,75,IE,2019-06-25,93,51.55,-9.27,57.2,7.402963999999999
205,gat,0,SN,2019-06-25,88,14.69,-16.54,75.2,6.598293999999999
206,bilma,5,NE,2019-06-25,23,18.69,12.92,87.7100000000001,4.9245804
207,mackenzie,20,CA,2019-06-25,82,55.34,-123.09,57.2,4.184284
208,horta,0,ES,2019-06-25,53,41.43,2.16,80.00600000000003,4.184284
209,todos santos,5,MX,2019-06-25,47,23.45,-110.23,78.80000000000001,4.184284
210,beloha,0,MG,2019-06-25,76,-25.17,45.06,68.63000000000005,6.3247062000000005
211,soyo,39,AO,2019-06-25,78,-6.13,12.37,74.03000000000004,9.6721334
212,anta,34,PE,2019-06-25,56,-13.47,-72.15,41.0,3.2508668
213,shimoda,75,JP,2019-06-25,69,34.7,138.93,86.0,9.977908000000001
214,vestmannaeyjar,96,IS,2019-06-25,93,63.44,-20.27,52.070000000000064,9.6721334
215,vikhorevka,54,RU,2019-06-25,44,56.12,101.17,78.80000000000001,8.0467
216,opuwo,61,NA,2019-06-25,73,-18.06,13.84,49.01000000000008,1.8990212
217,sanmenxia,45,CN,2019-06-25,35,34.77,111.19,90.41000000000008,10.2514958
218,otradnoye,0,RU,2019-06-25,77,59.77,30.8,64.99400000000009,6.43736
219,port lincoln,0,AU,2019-06-25,62,-34.72,135.86,61.070000000000064,8.8352766
220,lidkoping,75,SE,2019-06-25,100,58.51,13.16,60.998000000000026,4.9889540000000006
221,esperance,20,TT,2019-06-25,83,10.24,-61.45,78.80000000000001,6.179865599999999
222,ouadda,100,CF,2019-06-25,96,8.07,22.4,68.63000000000005,0.8529502
223,ponta delgada,75,PT,2019-06-25,82,37.73,-25.67,64.4,6.598293999999999
224,sidhi,60,IN,2019-06-25,35,24.41,81.88,97.61000000000008,8.3846614
225,springdale,20,US,2019-06-25,88,36.19,-94.13,75.99199999999999,4.9889540000000006
226,sao joao da barra,5,BR,2019-06-25,90,-21.64,-41.05,67.37000000000006,2.0760486
227,pergamino,0,AR,2019-06-25,65,-33.9,-60.57,37.99400000000007,1.4323126
228,waipawa,0,NZ,2019-06-25,91,-39.94,176.59,39.992,1.8507409999999997
229,ngunguru,0,NZ,2019-06-25,84,-35.62,174.5,55.004000000000055,1.4323126
230,miri,44,NG,2019-06-25,87,10.31,9.75,72.77000000000007,4.2808444
231,necochea,33,AR,2019-06-25,84,-38.55,-58.74,37.004000000000055,2.1565156
232,torbay,5,CA,2019-06-25,93,47.66,-52.73,44.99600000000005,4.184284
233,churapcha,48,RU,2019-06-25,31,62.0,132.43,74.57000000000006,2.3496364
234,dongzhen,72,CN,2019-06-25,29,43.33,129.73,86.99000000000002,5.9867448
235,oshkosh,1,US,2019-06-25,60,44.02,-88.54,71.6,2.41401
236,lorengau,60,PG,2019-06-25,73,-2.02,147.27,83.93000000000004,6.035025
237,avera,1,US,2019-06-25,94,33.19,-82.53,77.0,2.41401
